GLN,Namn,Avdelning,Gatuadress,Postbox,Postnummer och ort,Sökattribut,Id,Leveransplats,string_address,coordinates,latitude,longitude
7381020441275,Söderskolans fsk,Köket,,Heberg 318,311 96 Heberg,,7381020441275,,"Söderskolans fsk, Heberg 318, 311 96 Heberg","(56.8908223, 12.6307627)",56.8908223,12.6307627
7381020440056,Tallgläntan,Köket,,Halmstadvägen 18,311 40 Falkenberg,,7381020440056,,"Tallgläntan, Halmstadvägen 18, 311 40 Falkenberg","(56.9022503, 12.5073116)",56.9022503,12.5073116
7381020441022,Tallgläntan,Särskilt boende,,Halmstadvägen 14,311 40 Falkenberg,,7381020441022,,"Tallgläntan, Halmstadvägen 14, 311 40 Falkenberg","(56.9022503, 12.5073116)",56.9022503,12.5073116
7381020441015,Tallgläntan korttid,HSL/Korttid,,Halmstadsvägen 14,311 40 Falkenberg,,7381020441015,,"Tallgläntan korttid, Halmstadsvägen 14, 311 40 Falkenberg","(56.901311, 12.506527)",56.901311,12.506527
7381020441039,Tallgläntan natt o verk.stöd,Särskilt boende,,Halmstadvägen 14,311 40 Falkenberg,,7381020441039,,"Tallgläntan natt o verk.stöd, Halmstadvägen 14, 311 40 Falkenberg","(56.901311, 12.506527)",56.901311,12.506527
7381020441282,Tallkottens förskola,Köket,,Halmstadvägen 14-18,311 40 Falkenberg,,7381020441282,,"Tallkottens förskola, Halmstadvägen 14-18, 311 40 Falkenberg","(56.901664, 12.5072925)",56.901664,12.5072925
7381020442401,Tallkottens förskola,Förskola,,Halmstadvägen 18,311 45 Falkenberg,,7381020442401,,"Tallkottens förskola, Halmstadvägen 18, 311 45 Falkenberg","(56.901664, 12.5072925)",56.901664,12.5072925
7381020441466,Tillf gruppboende Ohlsgården,,,Långaveka 301,311 98 Glommen,,7381020441466,,"Tillf gruppboende Ohlsgården, Långaveka 301, 311 98 Glommen","(56.9319544, 12.3670612)",56.9319544,12.3670612
7381020441190,Tillståndshandläggare,,,Kanslistvägen 10,311 39 Falkenberg,,7381020441190,,"Tillståndshandläggare, Kanslistvägen 10, 311 39 Falkenberg","(56.915009, 12.4959264)",56.915009,12.4959264
7381020442333,Tolkförmedling,,,Klockaregatan 27 A,311 36 Falkenberg,,7381020442333,,"Tolkförmedling, Klockaregatan 27 A, 311 36 Falkenberg","(56.9093263, 12.4924202)",56.9093263,12.4924202
7381020442166,Tolvan,Beroendeenheten,,Ormvråksvägen 12,311 39 Falkenberg,,7381020442166,,"Tolvan, Ormvråksvägen 12, 311 39 Falkenberg","(56.9110309, 12.4729221)",56.9110309,12.4729221
7381020440445,Trollgårdens förskola,Köket,,Slättenvägen 6,311 40 Falkenberg,,7381020440445,,"Trollgårdens förskola, Slättenvägen 6, 311 40 Falkenberg","(56.8939612, 12.5369883)",56.8939612,12.5369883
